img_id,mask_id,q,question,answer
cla820glss4wv071u9ine5505,cla820glss4wv071u9ine5505_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal structure
cla820glts4xb071uaie56hx1,cla820glts4xb071uaie56hx1_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal location
cla820glqs4tz071udmfo1d5m,cla820glqs4tz071udmfo1d5m_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal structure
cla820gmns617071u4e4radys,cla820gmns617071u4e4radys_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,anatomical landmark cecum located in the upper-center and upper-left regions
cla820glrs4vb071u5cwo55c1,cla820glrs4vb071u5cwo55c1_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,anatomical landmark cecum located in the central and lower left regions
cla820gmgs5pr071u61mf27n4,cla820gmgs5pr071u61mf27n4_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal location
cla820gmls5y3071ufytcckxb,cla820gmls5y3071ufytcckxb_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmarks are visible in the image?,"anatomical landmark cecum located in the center-right, lower-right, and upper-right regions"
cla820gmgs5q7071udblle3jw,cla820gmgs5q7071udblle3jw_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,cecal landmark located in the upper-central and upper-right regions
cla820glss4vv071u4yuq7en0,cla820glss4vv071u4yuq7en0_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,cecal landmark landmark located in central and left-central regions
cla820glss4wf071u3tu616sq,cla820glss4wf071u3tu616sq_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal structure
cla820gmks5vr071ubza08sdw,cla820gmks5vr071ubza08sdw_cecum_mask_0,Where in the image is the anatomical landmark?,Which areas of the image contain the anatomical landmark?,anatomical landmark cecum located in central and lower regions
cla820glss4w7071u3x1d69h6,cla820glss4w7071u3x1d69h6_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal landmark
cla820glts4xn071u7oh30ira,cla820glts4xn071u7oh30ira_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,cecal landmark visible in lower-left quadrant
cla820glqs4tn071u2kk21l0i,cla820glqs4tn071u2kk21l0i_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,anatomical landmark cecum visible in lower central and lower left regions
cla820glts4xj071u5m9x8znu,cla820glts4xj071u5m9x8znu_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal landmark
cla820gmes5mr071uhlwuaian,cla820gmes5mr071uhlwuaian_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal structure
cla820glrs4vf071u1j3n0v9l,cla820glrs4vf071u1j3n0v9l_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal location
cla820gm8s5ez071u424s0vjg,cla820gm8s5ez071u424s0vjg_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal structure
cla820glqs4tf071uebf256qf,cla820glqs4tf071uebf256qf_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal location
cl8k2u1q11edb08321lvz4fee,cl8k2u1q11edb08321lvz4fee_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,anatomical landmark cecum landmark located in lower central and right regions
cla820gmms5zn071u9lqc9ywi,cla820gmms5zn071u9lqc9ywi_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal landmark
cla820glos4rf071u3785a7n1,cla820glos4rf071u3785a7n1_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,anatomical landmark cecum evidence of landmark in upper-central and upper-left regions
cla820glus4yb071u71nia0yw,cla820glus4yb071u71nia0yw_cecum_mask_0,Where in the image is the anatomical landmark?,Which area of the image contains the anatomical landmark?,anatomical landmark cecum located in central and lower central regions
cla820glss4wz071u7qgp9jb8,cla820glss4wz071u7qgp9jb8_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal structure
cla820glqs4tz071udmfo1d5m,cla820glqs4tz071udmfo1d5m_cecum_mask_0,Where in the image is the anatomical landmark?,Which regions of the image contain the anatomical landmark?,cecal landmark visible in central and lower-central areas
cla820glrs4uz071u7ewk3y5a,cla820glrs4uz071u7ewk3y5a_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,cecal landmark located in the lower-left region
cla820gles4cb071u30p914fw,cla820gles4cb071u30p914fw_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,cecal landmark visible in the central right and lower right regions
cla820gmjs5v3071u9fltescr,cla820gmjs5v3071u9fltescr_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,cecal landmark located in the central and lower-left regions
cla820gmms5zv071u5yw05he4,cla820gmms5zv071u5yw05he4_cecum_mask_0,Where in the image is the anatomical landmark?,Where is the anatomical landmark located in the image?,cecal landmark scattered across central and upper regions
cla820gmls5xv071u4iiz09gv,cla820gmls5xv071u4iiz09gv_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal location
cla820gmes5mz071u10w11oe2,cla820gmes5mz071u10w11oe2_cecum_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of cecal structure
cla820glus4z3071uhi6tfu56,cla820glus4z3071uhi6tfu56_cecum_mask_0,Where in the image is the anatomical landmark?,Which regions of the image contain the anatomical landmark?,cecal landmark located in central and upper-right regions
cla820gmks5vf071uhewahx6h,cla820gmks5vf071uhewahx6h_cecum_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,cecal landmark located in the upper-center and upper-right regions
