img_id,mask_id,q,question,answer
cla820glts4xn071u7oh30ira,cla820glts4xn071u7oh30ira_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis distributed across central and multiple quadrants
cla820gn6s6lv071u6ibw16sz,cla820gn6s6lv071u6ibw16sz_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis abnormality observed in multiple central and lower quadrants
cla820gm6s5c3071u9rg73gh5,cla820gm6s5c3071u9rg73gh5_ulcerative_colitis_mask_0,Where in the image is the abnormality?,What are the locations of the abnormalities seen in the image?,"ulcerative colitis scattered across multiple regions including central, upper, and lower areas"
cla820glws517071u73qm5d88,cla820glws517071u73qm5d88_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis abnormality scattered across multiple regions
cla820glvs4zf071u1wsq069a,cla820glvs4zf071u1wsq069a_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which areas of the image is the abnormality located?,ulcerative colitis abnormality scattered across multiple regions
cla820gmls5yn071uc9dfd6zr,cla820gmls5yn071uc9dfd6zr_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where are the areas of abnormality located in the image?,"ulcerative colitis scattered across multiple regions including center, upper, and lower quadrants"
cla820gmxs6e3071u2ioi80b5,cla820gmxs6e3071u2ioi80b5_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Which areas of the image show abnormal findings?,ulcerative colitis abnormalities noted in multiple central and lower regions
cla820gn4s6jv071u2uaj0y9r,cla820gn4s6jv071u2uaj0y9r_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where is the abnormality located in the image?,ulcerative colitis abnormalities scattered across multiple regions
cla820glos4r7071u67756tdr,cla820glos4r7071u67756tdr_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis scattered across multiple regions including central and upper areas
cla820glxs523071uc2xq43by,cla820glxs523071uc2xq43by_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where is the abnormality located within the image?,"ulcerative colitis scattered across multiple regions including center, upper, and lower quadrants"
cla820gl8s41r071uhqlybr1o,cla820gl8s41r071uhqlybr1o_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where is the abnormality located within the image?,ulcerative colitis abnormalities scattered across multiple quadrants
cla820gmms5z3071ufc5u32iq,cla820gmms5z3071ufc5u32iq_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where is the area of abnormality located within the image?,ulcerative colitis distributed across multiple regions including central and lower quadrants
cla820gl9s43r071u6vs31s5s,cla820gl9s43r071u6vs31s5s_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where are the areas of abnormality located in the image?,ulcerative colitis distributed across multiple regions including central and upper quadrants
cla820glgs4f3071u9cuffv0z,cla820glgs4f3071u9cuffv0z_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Which regions of the image show the abnormality?,ulcerative colitis abnormality noted in multiple quadrants and central regions
cla820gmps64f071uanz7g9ta,cla820gmps64f071uanz7g9ta_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis scattered across multiple central and lower regions
cla820glms4or071u3gr770w6,cla820glms4or071u3gr770w6_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where are the abnormalities located in the image?,ulcerative colitis distributed across multiple quadrants including upper and lower regions
cla820gmjs5uj071uan8m7p41,cla820gmjs5uj071uan8m7p41_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis distributed across multiple central and lower quadrants
cla820glts4xf071uhw7u4dwm,cla820glts4xf071uhw7u4dwm_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis scattered across multiple quadrants including central and lower regions
cla820gmvs6bj071u6anxd2pj,cla820gmvs6bj071u6anxd2pj_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis distributed across multiple central and lower quadrants
cla820glgs4fv071uf4ux93ks,cla820glgs4fv071uf4ux93ks_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which areas of the image is the abnormality located?,ulcerative colitis abnormality scattered across multiple regions
cla820gmvs6c3071ugjeig683,cla820gmvs6c3071ugjeig683_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality observed?,ulcerative colitis abnormality seen in multiple central and lower quadrants
cla820glgs4ev071u2jy8d6d0,cla820glgs4ev071u2jy8d6d0_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which areas of the image is the abnormality located?,ulcerative colitis abnormality scattered across multiple regions
cla820gmos627071uc11qby84,cla820gmos627071uc11qby84_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which areas of the image is the abnormality located?,"ulcerative colitis scattered across multiple regions including center, lower, and upper areas"
cla820glrs4uz071u7ewk3y5a,cla820glrs4uz071u7ewk3y5a_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where is the abnormality located in the image?,"ulcerative colitis abnormality observed in multiple regions including center, upper, and lower quadrants"
cla820glws51j071ubeeebxf0,cla820glws51j071ubeeebxf0_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis Abnormality seen in multiple quadrants including central and lower regions
cla820gn3s6if071u2efz098u,cla820gn3s6if071u2efz098u_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Which regions of the image show abnormal findings?,ulcerative colitis abnormalities scattered across multiple regions
cla820gm0s563071u1wfnfv5i,cla820gm0s563071u1wfnfv5i_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where is the abnormality located in the image?,"ulcerative colitis distributed across multiple regions including center, upper, and lower quadrants"
cla820gn8s6pr071uaw0qdq4x,cla820gn8s6pr071uaw0qdq4x_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis abnormality observed in multiple quadrants and central areas
cla820gm4s5ar071u8dv39r4f,cla820gm4s5ar071u8dv39r4f_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis distributed across multiple quadrants including central and lower regions
cla820gmus6af071u9mfk6o3o,cla820gmus6af071u9mfk6o3o_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where is the abnormality located within the image?,ulcerative colitis abnormalities distributed across multiple regions
cla820gmis5sj071ufgntbsg4,cla820gmis5sj071ufgntbsg4_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where is the abnormality located in the image?,"ulcerative colitis distributed across multiple regions including center, upper, and lower areas"
cla820glbs473071u1468er6g,cla820glbs473071u1468er6g_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where is the abnormality located in the image?,ulcerative colitis abnormalities scattered across multiple regions
cla820gmcs5kb071uh99a6wnr,cla820gmcs5kb071uh99a6wnr_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis abnormality scattered across multiple areas
cla820gmjs5tz071u48f0gw74,cla820gmjs5tz071u48f0gw74_ulcerative_colitis_mask_0,Where in the image is the abnormality?,Where are the abnormalities located in the image?,"ulcerative colitis scattered across multiple regions including center, upper, and lower quadrants"
cla820gmps63j071ucq3p6od4,cla820gmps63j071ucq3p6od4_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality located?,ulcerative colitis scattered across multiple quadrants including central and lower areas
cla820gn4s6jb071u969ba8m3,cla820gn4s6jb071u969ba8m3_ulcerative_colitis_mask_0,Where in the image is the abnormality?,In which regions of the image is the abnormality observed?,ulcerative colitis abnormality seen in multiple central and upper regions
