img_id,mask_id,q,question,answer
clb0kvxur8zo0074yds4ebqyd,clb0kvxur8zo0074yds4ebqyd_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line formation
clb0kvxv5904g074yf9so0s07,clb0kvxv5904g074yf9so0s07_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line formation
clb0kvxv990b4074y4ot3gmi8,clb0kvxv990b4074y4ot3gmi8_z-line_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,z-line landmark located in central and upper-left regions
clb0kvxv5904o074yh0my1eow,clb0kvxv5904o074yh0my1eow_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks can be identified in the image?,presence of z-line structure
clb0kvxvg90o8074y9jii7q81,clb0kvxvg90o8074y9jii7q81_z-line_mask_0,Where in the image is the anatomical landmark?,Which regions of the image contain the anatomical landmark?,anatomical landmark z-line scattered across central and lower areas
clb0kvxv7906s074yfbj0gei6,clb0kvxv7906s074yfbj0gei6_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line visualization
clb0kvxw791pw074y41s0a5cb,clb0kvxw791pw074y41s0a5cb_z-line_mask_0,Where in the image is the anatomical landmark?,Which regions of the image contain the anatomical landmark?,anatomical landmark z-line located in central and upper regions
clb0kvxwj92ag074yeh9u6r4w,clb0kvxwj92ag074yeh9u6r4w_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,visible z-line at gastroesophageal junction
clb0kvxw891rk074yh9zf0mvw,clb0kvxw891rk074yh9zf0mvw_z-line_mask_0,Where in the image is the anatomical landmark?,In which areas of the image is the anatomical landmark located?,z-line scattered across central and upper regions
clb0lbwyododc086ubq8n9guo,clb0lbwyododc086ubq8n9guo_z-line_mask_0,Where in the image is the anatomical landmark?,Which regions of the image display the anatomical landmark?,anatomical landmark z-line scattered across central and lower regions
clb0kvxw391l0074yhcswfun8,clb0kvxw391l0074yhcswfun8_z-line_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmarks are visible in the image?,anatomical landmark z-line multiple landmarks located in central and upper regions
clb0kvxvl90w8074y800katqf,clb0kvxvl90w8074y800katqf_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line appearance
clb0kvxvq912s074yewom2e6b,clb0kvxvq912s074yewom2e6b_z-line_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmarks are visible in the image?,z-line landmarks seen in central and surrounding areas
clb0kvxv990bo074y3b8wb3wt,clb0kvxv990bo074y3b8wb3wt_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line appearance
clb0kvxw391kw074ycl08cjf2,clb0kvxw391kw074ycl08cjf2_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line formation
clb0kvxur8znw074y43k48d9y,clb0kvxur8znw074y43k48d9y_z-line_mask_0,Where in the image is the anatomical landmark?,Which regions of the image contain the anatomical landmark?,z-line landmark distributed across central and lower regions
clb0kvxvq913c074ydhcq65x2,clb0kvxvq913c074ydhcq65x2_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,presence of z-line
clb0kvxvo9100074yfqt61zy9,clb0kvxvo9100074yfqt61zy9_z-line_mask_0,Where in the image is the anatomical landmark?,Which areas of the image show the anatomical landmark?,z-line landmark visible in central and lower-left regions
clb0kvxwi927w074y17xf8hvt,clb0kvxwi927w074y17xf8hvt_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line formation
clb0kvxvq912s074yewom2e6b,clb0kvxvq912s074yewom2e6b_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line presence
clb0kvxvp911w074yg2mdg20e,clb0kvxvp911w074yg2mdg20e_z-line_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,z-line located in central and upper regions
clb0kvxvq9138074yc8b220oa,clb0kvxvq9138074yc8b220oa_z-line_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,z-line landmark located in central and upper regions
clb0kvxvi90r4074yavx6d87z,clb0kvxvi90r4074yavx6d87z_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line appearance
clb0kvxvo9114074y2bph73w9,clb0kvxvo9114074y2bph73w9_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,visible z-line at gastroesophageal junction
clb0kvxuq8zmw074ya45k4874,clb0kvxuq8zmw074ya45k4874_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,visible z-line at gastroesophageal junction
clb0kvxw291k4074y8267hchw,clb0kvxw291k4074y8267hchw_z-line_mask_0,Where in the image is the anatomical landmark?,Which regions of the image show the anatomical landmark?,z-line visible in central and lower regions
clb0kvxv990ao074y0sxr4p42,clb0kvxv990ao074y0sxr4p42_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line visualization
clb0kvxvl90wo074yffkc7fup,clb0kvxvl90wo074yffkc7fup_z-line_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,z-line located in central and lower regions
clb0kvxve90jw074y05yad028,clb0kvxve90jw074y05yad028_z-line_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmarks are visible in the image?,anatomical landmark z-line scattered across central and upper regions
clb0kvxuw8zt0074yfc365i0w,clb0kvxuw8zt0074yfc365i0w_z-line_mask_0,Where in the image is the anatomical landmark?,Which regions of the image contain the anatomical landmark?,z-line landmark scattered across central and lower regions
clb0kvxvy91dk074y51fvg9ld,clb0kvxvy91dk074y51fvg9ld_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line appearance
clb0kvxvk90vc074y037obpbz,clb0kvxvk90vc074y037obpbz_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line appearance
clb0kvxuq8zmc074ydwk1ec2r,clb0kvxuq8zmc074ydwk1ec2r_z-line_mask_0,Where in the image is the anatomical landmark?,Which region of the image contains the anatomical landmark?,z-line landmark located in central and upper-central areas
clb0kvxw791qg074y1znsavm7,clb0kvxw791qg074y1znsavm7_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line appearance
clb0kvxwg925o074y3qmhh504,clb0kvxwg925o074y3qmhh504_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line appearance
clb0kvxvl90x8074y29undetw,clb0kvxvl90x8074y29undetw_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line structure
clb0kvxv6906g074y19bxf1ei,clb0kvxv6906g074y19bxf1ei_z-line_mask_0,Where in the image is the anatomical landmark?,Which regions of the image show anatomical landmarks?,anatomical landmark z-line landmarks visible in central and multiple quadrants
clb0kvxw191hk074ygyj69433,clb0kvxw191hk074ygyj69433_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line formation
clb0kvxvl90x4074yd3joclty,clb0kvxvl90x4074yd3joclty_z-line_mask_0,Where in the image is the anatomical landmark?,Which regions of the image show the anatomical landmark?,z-line landmark distributed across central and upper regions
clb0kvxvr914o074yfcup58zp,clb0kvxvr914o074yfcup58zp_z-line_mask_0,Where in the image is the anatomical landmark?,Which areas of the image show the anatomical landmark?,z-line spread across central and lower regions
clb0kvxv08zxk074y44mo664c,clb0kvxv08zxk074y44mo664c_z-line_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmarks are visible in the image?,anatomical landmark z-line distributed across central and upper regions
clb0kvxw191ho074y2dn98yu8,clb0kvxw191ho074y2dn98yu8_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line appearance
clb0kvxvx91bk074y1md098y8,clb0kvxvx91bk074y1md098y8_z-line_mask_0,Are there any anatomical landmarks in the image? Check all that are present.,Which anatomical landmarks are visible in the image?,evidence of z-line formation
clb0kvxvl90w8074y800katqf,clb0kvxvl90w8074y800katqf_z-line_mask_0,Where in the image is the anatomical landmark?,Which anatomical landmark is visible in the image?,z-line located in the central and upper-central regions
